INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,219) + Blob of color:(0, 0, 255), size: 7, location: (190,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (190,224) + Blob of color:(0, 0, 255), size: 5, location: (199,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,218) + Blob of color:(0, 0, 255), size: 7, location: (191,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,225) + Blob of color:(0, 0, 255), size: 5, location: (200,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,218) + Blob of color:(0, 0, 255), size: 7, location: (192,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,225) + Blob of color:(0, 0, 255), size: 5, location: (201,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,218) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (200,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,218) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (200,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,219) + Blob of color:(0, 0, 255), size: 7, location: (191,227) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,227) + Blob of color:(0, 0, 255), size: 5, location: (199,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,219) + Blob of color:(0, 0, 255), size: 7, location: (192,228) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,228) + Blob of color:(0, 0, 255), size: 5, location: (199,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (192,227) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,227) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,221) + Blob of color:(0, 0, 255), size: 7, location: (191,227) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,227) + Blob of color:(0, 0, 255), size: 5, location: (200,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,221) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (200,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,222) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (201,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (202,221) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (202,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,220) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (201,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,220) + Blob of color:(0, 0, 255), size: 7, location: (194,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,225) + Blob of color:(0, 0, 255), size: 5, location: (200,220) 
